nct_id,title,status,phase,enrollment,start_date,completion_date,enrollment_rate_monthly,enrollment_rate_tier,enrollment_success_pct,success_tier,status_success_score,composite_success_score,success_percentile
NCT01076335,Neoadjuvant Hormones + Docetaxel in Node-Positive Prostate Cancer,COMPLETED,PHASE2,40.0,2005-05-01,2015-06-01,0.3306000543035569,Slow (<1/month),3.306000543035569,Significantly Below (<50%),100,48.2,43.665
NCT00789035,12 Weeks Treatment With 3 Different Doses of BI 10773 in Type 2 Diabetic Patients,COMPLETED,PHASE2,408.0,2008-10-01,,,Slow (<1/month),,Significantly Below (<50%),100,72.6,83.28
NCT04790435,Acute-On-Chronic Liver Failure In Cirrhotic Patients,COMPLETED,,109.0,2021-03-01,2022-02-01,9.845578635014837,Adequate (1-10/month),98.45578635014839,Met (75-100%),100,62.1,74.595
NCT02636335,"Light, Exercise Intensity and Mood in Overweight",COMPLETED,NA,26.0,2016-01-01,2017-06-01,1.5308317214700196,Adequate (1-10/month),15.308317214700196,Significantly Below (<50%),100,47.1,39.64
NCT04990635,Evaluation of Caudal Block Success With Perfusion Index,UNKNOWN,,55.0,2021-08-17,2021-09-30,38.050000000000004,Good (10-50/month),200.0,Exceeded (≥100%),50,42.7,25.77
NCT06077435,Comparative Analysis of AI Software for Enhanced Polyp Detection and Diagnosis,RECRUITING,NA,915.0,2023-03-01,2026-06-01,23.444949494949498,Good (10-50/month),200.0,Exceeded (≥100%),60,83.0,89.505
NCT06762535,fMRI Study of the Neural Mechanism of rTMS in the Treatment of Nicotine Dependence,ACTIVE_NOT_RECRUITING,NA,50.0,2023-04-01,2025-08-01,1.784290738569754,Adequate (1-10/month),17.84290738569754,Significantly Below (<50%),85,49.5,46.58
NCT02983435,Osteopathic Treatment for Chronic Low Back Pain,COMPLETED,NA,10.0,2016-12-01,2017-04-01,2.515702479338843,Adequate (1-10/month),25.157024793388434,Significantly Below (<50%),100,50.8,49.18
NCT03629535,Accuracy of Non-invasive Non-oscillometric Blood Pressure Wristband,COMPLETED,NA,8.0,2019-04-01,2019-09-10,1.5032098765432098,Adequate (1-10/month),15.032098765432098,Significantly Below (<50%),100,45.6,32.08
NCT00532935,MK0431A vs. Pioglitazone in Patients With Type 2 Diabetes Mellitus (0431A-066),COMPLETED,PHASE3,517.0,2008-01-26,2009-10-23,24.74446540880503,Good (10-50/month),200.0,Exceeded (≥100%),100,95.0,95.7
NCT06354608,The Effect of Audio Book and Local Vibration on Pain and Fear in Intramuscular Injection in Children,RECRUITING,NA,120.0,2023-10-25,2024-07-01,14.6112,Good (10-50/month),146.112,Exceeded (≥100%),60,52.6,54.684999999999995
NCT04580108,Highly Sensitive Serum Cardiac Troponin T and Cardiovascular Events in Patients With Systemic Lupus Erythematosus,COMPLETED,,446.0,2007-07-03,2019-06-26,3.1024314442413163,Adequate (1-10/month),31.024314442413164,Significantly Below (<50%),100,84.0,90.595
NCT07252908,A Phase II Clinical Trial on the Efficacy and Safety of TQC3721 Inhalation Powder,RECRUITING,PHASE2,195.0,2025-12-22,2026-06-01,36.86832298136646,Good (10-50/month),200.0,Exceeded (≥100%),60,58.6,69.51
NCT04711408,Virtual Reality During Ultrasound Examination of Women With Endometriosis,UNKNOWN,NA,100.0,2022-06-14,2023-12-01,5.689719626168224,Adequate (1-10/month),56.89719626168224,Below (50-75%),50,43.0,26.465
NCT00963508,"Efficacy, Safety and Tolerability of a Novel Malathion Formulation in Patients 2 Years and Older With Head Lice",COMPLETED,PHASE3,403.0,2009-08-01,2010-03-01,57.86471698113208,Excellent (>50/month),200.0,Exceeded (≥100%),100,92.2,93.825
NCT02380508,Heterologous Effects of BCG in Healthy UK Adults,COMPLETED,NA,36.0,2015-02-01,2016-11-01,1.7149295774647888,Adequate (1-10/month),17.14929577464789,Significantly Below (<50%),100,52.9,55.55
NCT01304108,Improving Venous Thromboembolism Prophylaxis,COMPLETED,PHASE4,3000.0,2009-01-01,2010-05-01,188.28865979381445,Excellent (>50/month),200.0,Exceeded (≥100%),100,100.0,99.185
NCT02368808,"Adolescent Bereavement Initiative in the Free State, South Africa",COMPLETED,NA,843.0,2015-01-01,2015-11-01,84.41092105263158,Excellent (>50/month),200.0,Exceeded (≥100%),100,100.0,99.185
NCT06979908,A Clinical Study on the Efficacy and Safety of Fruquintinib in Combination With PD-1 Monoclonal Antibody and Chidamide in Refractory MSS Metastatic Colorectal Cancer,RECRUITING,PHASE2,46.0,2025-01-22,2027-01-22,1.91813698630137,Adequate (1-10/month),19.1813698630137,Significantly Below (<50%),60,41.7,24.36
NCT06318208,Pulmonary Function in Non-hospitalized Adults and Children After Mild COVID-19,COMPLETED,,110.0,2021-04-20,2022-01-03,12.97829457364341,Good (10-50/month),129.7829457364341,Exceeded (≥100%),100,62.1,74.595
NCT01495208,Open Label to Study to Evaluate Effect of Alfilbercept on Patients With (FVPED) Fibrovascular Pigment Epithelial Detachment,WITHDRAWN,PHASE4,0.0,2011-12-01,2012-10-01,,Slow (<1/month),0.0,Significantly Below (<50%),5,14.8,1.6650000000000003
NCT03221608,Clinical Analysis of HIPEC for T4 Colorectal Cancer After Surgery,UNKNOWN,PHASE3,300.0,2017-08-01,2024-08-01,3.5713727023856086,Adequate (1-10/month),35.71372702385609,Significantly Below (<50%),50,59.0,70.365
NCT03352908,Yale Swallow Protocol in Extubated Patients,COMPLETED,,166.0,2017-10-25,2020-10-29,4.593672727272728,Adequate (1-10/month),45.93672727272728,Significantly Below (<50%),100,61.6,74.0
NCT06921408,Retrospective Identification of Scintigraphic Cardiac Amyloidosis (RISCA),NOT_YET_RECRUITING,,57.0,2025-06-01,2027-12-01,1.9004162102957285,Adequate (1-10/month),19.004162102957284,Significantly Below (<50%),30,31.9,11.295
NCT06444308,Community Health Worker-led Hypertension Management,RECRUITING,NA,460.0,2024-09-09,2026-09-01,19.393905817174517,Good (10-50/month),193.93905817174516,Exceeded (≥100%),60,79.8,87.27000000000001
NCT04645108,Coached or Non-Coached Weight Loss Intervention,COMPLETED,NA,246.0,2020-11-20,2021-06-10,37.07049504950495,Good (10-50/month),200.0,Exceeded (≥100%),100,74.7,84.33500000000001
NCT00004108,DX-8951f in Treating Patients With Liver Cancer,COMPLETED,PHASE2,,1999-09-01,2005-04-01,,Slow (<1/month),,Significantly Below (<50%),100,45.0,30.330000000000002
NCT00359008,PHP Home Preferential Hyperacuity Perimeter for the Detection of Choroidal Neovascularization (CNV),COMPLETED,,336.0,2006-07-01,2007-09-01,23.952786885245903,Good (10-50/month),200.0,Exceeded (≥100%),100,80.2,88.045
NCT00704808,Post Marketing Surveillance: Newly Diagnosed Glioblastoma Multiforme Treated With Radiotherapy/Temozolomide and Adjuvant Temozolomide (Study P04739),COMPLETED,,180.0,2006-05-01,2008-12-01,5.798095238095239,Adequate (1-10/month),57.98095238095239,Below (50-75%),100,62.7,75.42
NCT01590108,The Study of Apelin-APJ System on Pulmonary Hypertension Patients and Healthy Subjects,COMPLETED,PHASE1,12.0,2012-03-01,2014-09-01,0.39964989059080963,Slow (<1/month),3.996498905908097,Significantly Below (<50%),100,46.0,34.1
NCT03625908,Optical CoherenCe Tomography-gUided Coronary Intervention in Patients With Complex lesIons: a Randomized Controlled Trial (OCCUPI Trial),COMPLETED,NA,1604.0,2019-01-09,2023-10-12,28.10924582613702,Good (10-50/month),200.0,Exceeded (≥100%),100,95.0,95.7
NCT00823108,Rapid Administration of Insulin in Sepsis,COMPLETED,PHASE1,20.0,2009-03-01,2010-10-01,1.05146804835924,Adequate (1-10/month),10.5146804835924,Significantly Below (<50%),100,46.6,37.375
NCT00609908,The Technique of Skin Stretching for Acute Burn Treatment and Scar Reconstruction,COMPLETED,PHASE3,30.0,2007-12-01,2011-06-01,0.7145539906103286,Slow (<1/month),7.145539906103286,Significantly Below (<50%),100,47.4,40.98
NCT00582608,Tumor Detection Using Iodine-131-Labeled Monoclonal Antibody 8H9,TERMINATED,NA,12.0,2001-10-01,2009-05-01,0.13191765980498377,Slow (<1/month),1.3191765980498376,Significantly Below (<50%),10,19.0,4.84
NCT03991208,Malarone Pharmacokinetics Under Simulated Physiologic Stressors of Deployment,WITHDRAWN,PHASE4,0.0,2019-05-24,2021-05-23,,Slow (<1/month),0.0,Significantly Below (<50%),5,14.8,1.6650000000000003
NCT04673825,Monitoring Spondyloarthritis With SpA-Net,COMPLETED,NA,200.0,2020-12-02,2023-07-01,6.46971307120085,Adequate (1-10/month),64.69713071200852,Below (50-75%),100,66.0,78.99000000000001
NCT03909425,Defining Disease Activity in Neovascular AMD With Optical Coherence Tomography Angiography,COMPLETED,,35.0,2019-09-02,2021-08-16,1.4921568627450983,Adequate (1-10/month),14.921568627450982,Significantly Below (<50%),100,46.1,34.695
NCT01117025,Combined Treatment of Resistant Hypertension and Atrial Fibrillation,COMPLETED,PHASE2,26.0,2010-04-01,2012-04-01,1.0826812585499317,Adequate (1-10/month),10.826812585499317,Significantly Below (<50%),100,47.1,39.64
NCT01566825,The Influence of Amitriptyline on Learning in a Visual Discrimination Task,COMPLETED,NA,32.0,2008-08-01,2009-05-01,3.5680586080586085,Adequate (1-10/month),35.68058608058608,Significantly Below (<50%),100,52.6,54.684999999999995
NCT04443725,Efficacy and Safety of Anti HCV Drugs in the Treatment of COVID-19,UNKNOWN,PHASE2,100.0,2020-07-01,2020-12-01,19.895424836601308,Good (10-50/month),198.95424836601308,Exceeded (≥100%),50,48.0,42.945
NCT05980325,Exercise for Fighting Oncology Repercussions After Treatment,NOT_YET_RECRUITING,NA,45.0,2025-01-08,2026-07-01,2.541372912801484,Adequate (1-10/month),25.413729128014843,Significantly Below (<50%),30,32.6,12.31
NCT00433225,Efficacy of Topical Ketorolac Versus Placebo for Improving Visual Outcomes Following Multifocal IOL Implantation,COMPLETED,PHASE4,,,,,Slow (<1/month),,Significantly Below (<50%),100,40.0,21.87
NCT05501925,GlideSheath Slender® Versus Conventional 6 French Arterial Sheath: Impact on the Distal Radial Artery Occlusion (SMART),UNKNOWN,NA,600.0,2022-09-15,2024-02-28,34.3954802259887,Good (10-50/month),200.0,Exceeded (≥100%),50,80.0,87.67
NCT03574025,NEUROlogical Prognosis After Cardiac Arrest in Kids,UNKNOWN,,150.0,2018-01-01,2019-08-01,7.913344887348354,Adequate (1-10/month),79.13344887348354,Met (75-100%),50,45.3,31.169999999999998
NCT05043376,Study to Investigate the Treatment Benefits of Probiotic Streptococcus Salivarius K12 for Hospitalised Patients (Non-ICU) With COVID-19,COMPLETED,NA,50.0,2021-09-10,2021-11-21,21.13888888888889,Good (10-50/month),200.0,Exceeded (≥100%),100,59.0,70.365
NCT00672776,Effects of Paxil CR on Neural Circuits in Posttraumatic Stress Disorder (PTSD),COMPLETED,PHASE4,40.0,2003-05-01,2007-09-01,0.7686868686868688,Slow (<1/month),7.686868686868687,Significantly Below (<50%),100,48.2,43.665
NCT00016276,"Combination Chemotherapy, Surgery, and Radiation Therapy With or Without Dexrazoxane and Trastuzumab in Treating Women With Stage III or Stage IV Breast Cancer",TERMINATED,PHASE3,396.0,2001-05-01,,,Slow (<1/month),,Significantly Below (<50%),10,44.7,29.67
NCT02929576,"Efficacy and Safety Study of Enzalutamide in Combination With Paclitaxel Chemotherapy or as Monotherapy Versus Placebo With Paclitaxel in Patients With Advanced, Diagnostic-Positive, Triple-Negative Breast Cancer",WITHDRAWN,PHASE3,0.0,2016-09-01,,,Slow (<1/month),0.0,Significantly Below (<50%),5,9.8,0.22
NCT01459276,A Study to Evaluate Safety and Immunogenicity of FluvalAB-like Influenza Vaccine in Non-Elderly Adult and Elderly Subjects,COMPLETED,NA,1206.0,2011-10-01,2012-03-01,241.51736842105262,Excellent (>50/month),200.0,Exceeded (≥100%),100,100.0,99.185
NCT06092476,Trial to Evaluate Efficacy+Safety of Revita DMR Treatment Paradigm 1 and Retreatment in Type 2 Diabetes Patients,RECRUITING,NA,18.0,2024-08-09,2027-07-01,0.5188636363636363,Slow (<1/month),5.188636363636364,Significantly Below (<50%),60,34.4,14.430000000000001
NCT05308576,A Study to Evaluate the Efficacy and Safety of SCTV01E (a COVID-19 Vaccine) in Population Aged ≥18 Years,ACTIVE_NOT_RECRUITING,PHASE3,10000.0,2022-12-26,2024-04-01,658.8744588744589,Excellent (>50/month),200.0,Exceeded (≥100%),85,95.5,96.55
NCT06722976,Digital Health and Exercise for Autonomous Longevity Program,ENROLLING_BY_INVITATION,NA,120.0,2024-11-05,2025-07-01,15.347899159663866,Good (10-50/month),153.47899159663868,Exceeded (≥100%),55,51.1,50.129999999999995
NCT05645276,A Study of AK129 in Patients With Advanced Malignant Tumors,RECRUITING,PHASE1,182.0,2023-03-02,2026-06-01,4.667295703454086,Adequate (1-10/month),46.672957034540865,Significantly Below (<50%),60,52.6,54.684999999999995
NCT00588276,Pilot Evaluation of 124I-Iodo-Azomycin Galacto-Pyranoside (*IAZGP) Positron Emission Tomography (PET) in the Imaging of Hypoxic Tumors,COMPLETED,PHASE1,15.0,2005-06-01,2012-06-01,0.17856863511928042,Slow (<1/month),1.7856863511928043,Significantly Below (<50%),100,46.2,35.089999999999996
NCT04271176,Jaundice as Initial Presentation of Liver Hydatidosis (ICTEHIDA),UNKNOWN,,35.0,2009-01-01,2021-04-30,0.23665037760995114,Slow (<1/month),2.3665037760995116,Significantly Below (<50%),50,31.1,10.084999999999999
NCT02878876,Incidence of Lactose Intolerance Among Self-reported Lactose Intolerant People,COMPLETED,PHASE4,600.0,2016-01-01,2016-03-01,304.40000000000003,Excellent (>50/month),200.0,Exceeded (≥100%),100,100.0,99.185
NCT01821976,Transtibial Amputation Outcomes Study,COMPLETED,NA,250.0,2013-03-01,2020-03-01,2.9761439186546736,Adequate (1-10/month),29.76143918654674,Significantly Below (<50%),100,70.0,81.89999999999999
NCT06981676,The Developmental Origins of Obesity,RECRUITING,NA,160.0,2023-07-25,2027-03-30,3.623809523809524,Adequate (1-10/month),36.23809523809524,Significantly Below (<50%),60,50.8,49.18
NCT02644876,Preventive Effects of Penehyclidine Hydrochloride Inhalation on Postoperative Pulmonary Complications,COMPLETED,PHASE4,864.0,2015-09-01,2018-12-10,21.99010033444816,Good (10-50/month),200.0,Exceeded (≥100%),100,95.0,95.7
NCT04648176,Application of MOSES Technology in BPH,UNKNOWN,NA,400.0,2020-03-06,2023-06-30,10.054500412881916,Good (10-50/month),100.54500412881917,Exceeded (≥100%),50,72.0,82.92
NCT04334876,Rapid SARS-CoV-2 IgG Antibody Testing in High Risk Healthcare Workers,COMPLETED,NA,571.0,2020-04-01,2021-01-01,63.2045090909091,Excellent (>50/month),200.0,Exceeded (≥100%),100,100.0,99.185
NCT00003617,Chlorambucil Compared With No Further Therapy Following Anti-Helicobacter Therapy in Treating Patients With Low-Grade Lymphoma of the Stomach,UNKNOWN,PHASE3,200.0,1995-03-01,,,Slow (<1/month),,Significantly Below (<50%),50,41.0,23.01
NCT01298817,Use of a Soy-based Meal Replacement Weight Loss Intervention to Impact Ectopic Fat,COMPLETED,NA,24.0,2011-03-01,2012-12-01,1.1397191887675506,Adequate (1-10/month),11.397191887675506,Significantly Below (<50%),100,46.9,38.96
NCT07146217,Pharmacokinetic and Safety Study of Metronidazole Oral Suspension in Pediatric Patients With Anaerobic Bacterial Infection,NOT_YET_RECRUITING,PHASE2,30.0,2025-08-01,2026-10-01,2.143661971830986,Adequate (1-10/month),21.43661971830986,Significantly Below (<50%),30,31.4,10.47
NCT06852417,Qigong and Executive Attention in Older Adults with Depressive Symptoms,NOT_YET_RECRUITING,NA,200.0,2026-01-01,2028-12-31,5.559817351598174,Adequate (1-10/month),55.59817351598174,Below (50-75%),30,45.0,30.330000000000002
NCT02272517,Efficacy of Vortioxetine Versus Escitalopram on Cognitive Function in Patients With Inadequate Response to Current Antidepressant Treatment of Major Depressive Disorder,COMPLETED,PHASE3,101.0,2014-12-01,2016-03-01,6.742192982456141,Adequate (1-10/month),67.42192982456142,Below (50-75%),100,58.1,68.595
NCT05107817,Aquatic Exercise and Reactive Balance,NOT_YET_RECRUITING,NA,44.0,2026-01-01,2027-09-01,2.2028947368421052,Adequate (1-10/month),22.028947368421054,Significantly Below (<50%),30,32.5,12.235
NCT04821817,Peribulbar Rocuronium in Adult Strabismus Surgery,COMPLETED,NA,52.0,2021-04-03,2025-02-09,1.1242045454545455,Adequate (1-10/month),11.242045454545455,Significantly Below (<50%),100,49.2,46.035
NCT01833117,Efficacy and Safety Study of FID 119515A,COMPLETED,NA,75.0,2013-05-01,2013-06-01,73.64516129032258,Excellent (>50/month),200.0,Exceeded (≥100%),100,66.0,78.99000000000001
NCT03391817,FAECAL MICROBIOTA TRANSPLANTATION IN OBESITY,UNKNOWN,NA,40.0,2018-01-19,2021-02-28,1.0718309859154929,Adequate (1-10/month),10.718309859154928,Significantly Below (<50%),50,33.2,12.989999999999998
NCT05059717,An Investigational Scan (MR DENSE) in Detecting Early Chemotherapy-Related Liver Injury Before Surgery in Patients With Resectable Colorectal Liver Metastases,WITHDRAWN,NA,0.0,2018-07-12,2022-06-24,,Slow (<1/month),0.0,Significantly Below (<50%),5,14.8,1.6650000000000003
NCT05599217,Association Between Dietary Factors and Chronic Subdural Hematoma (DISH),RECRUITING,,420.0,2023-03-13,2025-03-31,17.069158878504673,Good (10-50/month),170.69158878504675,Exceeded (≥100%),60,74.9,84.425
NCT02082717,The Impact of Neut During Potassium Chloride Replacement on Pain and Incidence of Phlebitis,TERMINATED,PHASE4,17.0,2014-02-25,2018-08-03,0.3194320987654321,Slow (<1/month),3.194320987654321,Significantly Below (<50%),10,19.4,5.2299999999999995
NCT05999617,Effectiveness of Dual Task Exercise Training in Children With Cerebral Palsy,COMPLETED,NA,30.0,2023-05-12,2023-08-31,8.227027027027027,Adequate (1-10/month),82.27027027027027,Met (75-100%),100,52.4,53.949999999999996
NCT03190317,Health Information for Infected Veterans,ACTIVE_NOT_RECRUITING,,123.0,2019-06-24,2025-09-30,1.6349868995633188,Adequate (1-10/month),16.349868995633187,Significantly Below (<50%),85,48.7,44.93
NCT01222117,A Study of Intra-thrombus Plasmin (Human) In Acute Peripheral Arterial Occlusion,COMPLETED,PHASE2,174.0,2010-12-01,2016-01-01,2.8522132471728594,Adequate (1-10/month),28.52213247172859,Significantly Below (<50%),100,63.9,76.9
NCT05300217,Evaluation of a Website to Improve Depression Literacy in Adoldescents,COMPLETED,NA,79.0,2021-01-04,2022-05-02,4.97879917184265,Adequate (1-10/month),49.7879917184265,Significantly Below (<50%),100,56.3,64.5
NCT05275140,Adapted Taekwondo on Health Status in Older Women,COMPLETED,NA,56.0,2023-05-01,2024-01-30,6.221313868613138,Adequate (1-10/month),62.21313868613139,Below (50-75%),100,54.5,60.12
NCT00874640,Patient Characteristics in Daily Radiological Practice of Gadovist® Application (PATRON),COMPLETED,,3711.0,2009-03-01,2011-11-01,115.85932307692309,Excellent (>50/month),200.0,Exceeded (≥100%),100,98.3,97.505
NCT02307240,"Open Label, Multi-center Study to Assess the Safety, Tolerability and Pharmacokinetics of CUDC-907 in Subjects With Advanced/Relapsed Solid Tumors",COMPLETED,PHASE1,43.0,2014-11-01,2019-05-31,0.7828468899521531,Slow (<1/month),7.828468899521532,Significantly Below (<50%),100,48.4,44.22
NCT01154140,A Clinical Trial Testing The Efficacy Of Crizotinib Versus Standard Chemotherapy Pemetrexed Plus Cisplatin Or Carboplatin In Patients With ALK Positive Non Squamous Cancer Of The Lung,COMPLETED,PHASE3,343.0,2011-01-13,2016-11-30,4.8607635009311,Adequate (1-10/month),48.60763500931099,Significantly Below (<50%),100,77.4,85.835
NCT03592940,The Management of Neuroendocrine Tumours: A Nutritional Viewpoint.,COMPLETED,,100.0,2017-11-01,2018-06-30,12.630705394190873,Good (10-50/month),126.30705394190873,Exceeded (≥100%),100,61.3,73.56
NCT05331040,Radiomics in Rectal Cancer,UNKNOWN,,350.0,2020-05-01,2025-05-01,5.83461117196057,Adequate (1-10/month),58.346111719605695,Below (50-75%),50,61.3,73.56
NCT04855240,Evaluate the Efficacy and Safety of ACP-044 for the Treatment of Acute Postoperative Pain Following Bunionectomy,COMPLETED,PHASE2,239.0,2021-03-29,2022-03-14,20.78617142857143,Good (10-50/month),200.0,Exceeded (≥100%),100,74.1,84.10499999999999
NCT00544440,An Observational Study of Continuous Oral Dosing of Abiraterone Acetate in Castration-Resistant Prostate Cancer Patients Evaluating Androgens and Steroid Metabolites in Bone Marrow Plasma,COMPLETED,PHASE2,57.0,2007-10-01,2012-08-01,0.9824915062287657,Slow (<1/month),9.824915062287657,Significantly Below (<50%),100,49.6,46.785
NCT00430040,Vascular Benefits of Adding CarvedilolCR to Type2 Diabetic Patients on ACEI.,TERMINATED,PHASE4,14.0,2007-02-01,2013-05-01,0.1868303375712407,Slow (<1/month),1.868303375712407,Significantly Below (<50%),10,19.1,4.9799999999999995
NCT04742140,Magnesium Sulphate Injection in Treatment of Myofascial Trigger Points,COMPLETED,PHASE4,180.0,2021-02-20,2021-09-01,28.389637305699484,Good (10-50/month),200.0,Exceeded (≥100%),100,69.4,81.52000000000001
NCT02021240,Ketamine in Post-operative Dental Pain and Recovery,COMPLETED,PHASE3,150.0,2014-02-10,2016-04-18,5.7218045112781954,Adequate (1-10/month),57.21804511278196,Below (50-75%),100,62.0,74.42
NCT01126840,Survivorship in Lynch Syndrome Families,COMPLETED,,303.0,2010-06-20,2022-09-19,2.061537773804202,Adequate (1-10/month),20.615377738042024,Significantly Below (<50%),100,72.6,83.28
NCT05710289,A Blood Collection Study to Assess the Immunogenicity of Nationally Authorized Homologous COVID-19 Booster Vaccines Among Adult Vaccinees.,WITHDRAWN,,0.0,2023-02-01,2024-02-01,,Slow (<1/month),0.0,Significantly Below (<50%),5,13.2,0.6
NCT03222089,Phase II Trial of FOLFOXIGIL Versus FOLFOXIRI as First-line Therapy in Patients With mCRC,WITHDRAWN,PHASE2,0.0,2017-07-20,2020-07-20,,Slow (<1/month),0.0,Significantly Below (<50%),5,14.8,1.6650000000000003
NCT06356389,"A Clinical Trial to Evaluate Safety, Tolerance and Pharmacokinetics of JX11502MA Capsule in Patients With Schizophrenia.",COMPLETED,PHASE1,60.0,2022-03-02,2023-01-28,5.501204819277109,Adequate (1-10/month),55.012048192771076,Below (50-75%),100,54.8,61.095
NCT00778089,Open-Label Study to Evaluate the Immunogenicity of Bovine Collagen in ArteFill® by Skin Testing,TERMINATED,NA,498.0,2008-07-01,2008-12-03,97.80077419354839,Excellent (>50/month),200.0,Exceeded (≥100%),10,72.8,83.36
NCT07279389,Comparative Study Between One-Shot Dilatation Versus Serial Dilatation Techniques for Access in Percutaneous Nephrolithotomy in Adult Patients,COMPLETED,NA,60.0,2022-02-27,2023-08-05,3.4854961832061067,Adequate (1-10/month),34.85496183206107,Significantly Below (<50%),100,54.8,61.095
NCT00176189,Clinical Performance of Extended All-Ceramic Fixed Partial Dentures Based on Zircon-Oxide Ceramics.,COMPLETED,NA,30.0,2005-02-01,2006-12-01,1.367065868263473,Adequate (1-10/month),13.670658682634729,Significantly Below (<50%),100,47.4,40.98
NCT04337489,Remote Monitoring Use In Cases Of Suspected COVID-19 (Coronavirus),COMPLETED,,15.0,2020-07-28,2021-03-26,1.8946058091286309,Adequate (1-10/month),18.94605809128631,Significantly Below (<50%),100,49.5,46.58
NCT02904889,Stimulating Engagement in Daily and Physical Activities Among Older Adults Receiving Homecare Services (Part of Basic Care Revisited),COMPLETED,NA,40.0,2016-09-01,2017-07-01,4.018481848184819,Adequate (1-10/month),40.18481848184819,Significantly Below (<50%),100,53.2,56.665
NCT04594889,Comparison of Sirolimus vs Paclitaxel Drug Eluting Balloon for Below-the-knee Angioplasty in Critical Limb Ischemia,UNKNOWN,NA,170.0,2020-10-14,2022-12-31,6.404455445544555,Adequate (1-10/month),64.04455445544556,Below (50-75%),50,48.6,44.685
NCT00358189,Effects of Deep Brain Stimulation for the Treatment of Parkinson's Disease,COMPLETED,,20.0,2006-10-01,2008-05-01,1.053287197231834,Adequate (1-10/month),10.53287197231834,Significantly Below (<50%),100,44.9,30.025000000000002
NCT06011889,Study of the Efficacy and Safety of Etanercept Treatment in Patients With SAPHO Syndrome,RECRUITING,PHASE2,60.0,2024-09-04,2028-10-18,1.2135548172757475,Adequate (1-10/month),12.135548172757476,Significantly Below (<50%),60,37.8,19.015
NCT04285489,A Study on the Safety of Hakim Programmable Shunt System,COMPLETED,,130.0,2020-05-02,2020-07-28,45.48505747126437,Good (10-50/month),200.0,Exceeded (≥100%),100,68.7,81.065
NCT00836589,Long-term Evaluation of the Linox Family ICD Leads Registry (GALAXY),COMPLETED,,1997.0,2008-12-01,2016-12-01,20.803791923340178,Good (10-50/month),200.0,Exceeded (≥100%),100,93.3,94.325
